2020-05-04T19:19:37.794Z|33936fa12d43ecf2|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|177|-|107.212|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:19:37.802Z|70f51744a920f532|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|47.734|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:19:37.889Z|5b3a1690b78b6136|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|20|-|65.478|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:19:38.067Z|6707fc230fd3d836|::ffff:127.0.0.1|admin|GET|/api/v1/ui/home/widget/artifactCount|200|69|-|105.359|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:19:38.158Z|3ac88cf28500fb3b|::ffff:127.0.0.1|admin|POST|/api/v1/mds/packages?jfLoader=true|200|42|242|160.762|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:19:56.534Z|492190ba8964f725|::ffff:127.0.0.1|admin|POST|/api/v1/ui/onboarding/changePassword?jfLoader=true|200|49|111|832.174|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:19:56.753Z|22f98410b83f3d77|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|178|-|183.947|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:19:56.765Z|4c7ea5316da708c6|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|205.822|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:19:56.902Z|592017caea675b56|::ffff:127.0.0.1|admin|GET|/api/v1/ui/generalConfig|200|759|-|93.704|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:00.100Z|7ec20bd60f2c55be|::ffff:127.0.0.1|admin|GET|/api/v1/ui/proxies?jfLoader=true|200|2|-|47.247|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:02.126Z|4492aab889d643c4|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|12.173|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:04.171Z|16e8dea30e421e4d|::ffff:127.0.0.1|admin|GET|/api/v1/ui/onboarding/reposStates|200|585|-|37.533|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:19.160Z|670d12c24bfaaf0e|::ffff:127.0.0.1|admin|POST|/api/v1/ui/onboarding/createDefaultRepos|201|221|48|1686.771|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:21.753Z|7f053657e7cb15f7|::ffff:127.0.0.1|anonymous|POST|/api/v1/ui/auth/loginRelatedData|200|45|17|38.186|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:21.764Z|540174269450bc0f|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/footer|200|777|-|47.465|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:21.783Z|537f00a1544970ac|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/current|200|449|-|75.290|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:21.862Z|4e9ea9c377317dcf|::ffff:127.0.0.1|anonymous|GET|/api/v1/system/status/nodes|200|425|-|30.637|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:21.908Z|79fe220d402bc64e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|21.585|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:21.926Z|6b65a4d03c36db0a|::ffff:127.0.0.1|admin|GET|/api/v1/system/onboarding|200|179|-|91.034|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:21.976Z|2a534a90569ac47f|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|430|-|48.787|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:27.151Z|7c2cee228e01bba1|::ffff:127.0.0.1|admin|GET|/api/v1/ui/auth/screen/systemMessages|200|2|-|14.267|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:35.442Z|98313f7a0a53ec2 |::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?search=true|200|496|-|59.621|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:35.449Z|5a0b351ee212efd6|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/pkg/availablePackages|200|-|-|91.213|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:35.750Z|571179bc976cbd0e|::ffff:127.0.0.1|admin|GET|/api/v1/ui/repodata?packageSearch=true|200|430|-|12.448|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:35.840Z|1b9fd311c45d9731|::ffff:127.0.0.1|admin|GET|/api/v1/ui/artifactsearch/property/keyvalue|200|2|-|54.122|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:35.884Z|e1a9596609780bb |::ffff:127.0.0.1|admin|POST|/api/v1/ui/treebrowser?compacted=true&$no_spinner=true|200|-|94|244.793|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:35.968Z|680e6f9c24652bcb|::ffff:127.0.0.1|admin|POST|/api/v1/ui/treebrowser/tabsAndActions?$no_spinner=true|200|310|104|55.461|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:36.125Z|4ee58e3cc2c523aa|::ffff:127.0.0.1|admin|POST|/api/v1/ui/artifactactions/download?$no_spinner=true|200|58|36|44.534|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
2020-05-04T19:20:36.304Z|6585336f6f182d32|::ffff:127.0.0.1|admin|POST|/api/v1/ui/artifactgeneral?$no_spinner=true|200|463|69|119.798|Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36
